ObjectId;codeEDRPOU;Name;ShortName
671eb17249d0f9c0d66e96d3;24906248;МАТВІЇВСЬКА СІЛЬСЬКА РАДА;МАТВІЇВСЬКА СІЛЬРАДА
671eb17249d0f9c0d66e9714;20520196;МАТВІЇВСЬКА ШКОЛА-ІНТЕРНАТ;МАТВІЇВСЬКА ШКОЛА-ІНТЕРНАТ
671eb17249d0f9c0d66e9721;44549128;ВСЗН МИХАЙЛІВСЬКОЇ СІЛЬСЬКОЇ РАДИ;Відділ соцзахисту Михайлвіської СР
671eb17249d0f9c0d66e973e;25477986;МИХАЙЛО-ЛУКАШІВСЬКА СІЛЬСЬКА РАДА;МИХАЙЛО-ЛУКАШІВСЬКА СІЛЬРАДА
671eb17249d0f9c0d66e9750;41685102;ТОВ "ТК-КІМ";ТОВ "ТК-КІМ"
671eb17249d0f9c0d66e9766;42499898;ТОВ "НВО "РІСТ";ТОВ "НВО "РІСТ"
671eb17249d0f9c0d66e9793;14319099;ДЕРЖАВНА УСТАНОВА "ВІЛЬНЯНСЬКА УСТАНОВА ВИКОНАННЯ ПОКАРАНЬ (№11)";Вільнянська УВП №11
671eb17249d0f9c0d66e97a9;00130926;ПАТ "ЗАПОРІЖЖЯОБЛЕНЕРГО";ПАТ "ЗАПОРІЖЖЯОБЛЕНЕРГО"
671eb17249d0f9c0d66e9823;08563560;ДЕРЖАВНА УСТАНОВА "КАМ'ЯНСЬКА ВИПРАВНА КОЛОНІЯ (№101)";Кам'янська ВК №101
671eb17349d0f9c0d66e983a;03751209;ТОВ "НИВА";ТОВ "НИВА"
671eb17349d0f9c0d66e984d;04526963;ВК ВІЛЬНЯНСЬКОЇ МІСЬКОЇ РАДИ;ВК ВІЛЬНЯНСЬКОЇ МІСЬКОЇ РАДИ
671eb17349d0f9c0d66e986f;26316700;ТЕРИТОРІАЛЬНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ СУДОВОЇ АДМІНІСТРАЦІЇ УКРАЇНИ В ЗАПОРІЗЬКІЙ ОБЛАСТІ;УПРАВЛІННЯ СУДОВОЇ АДМІНІСТРАЦІЇ
671eb17349d0f9c0d66e987a;32550989;КП "ДРУЖЕЛЮБІВСЬКИЙ СІЛЬКОМУНГОСП";КП "ДРУЖЕЛЮБІВСЬКИЙ СІЛЬКОМУНГОСП"
671eb17349d0f9c0d66e9889;01992914;КНП "ВІЛЬНЯНСЬКА БЛ" ВМР;Вільнянська лікарня
671eb17349d0f9c0d66e989a;04353296;ПЕТРО-МИХАЙЛІВСЬКА СІЛЬСЬКА РАДА;ПЕТРО-МИХАЙЛІВСЬКА СІЛЬРАДА
671eb17349d0f9c0d66e98a5;41610262;ТОВ "ВЕКТОР БУД-ТОРГ";ТОВ "ВЕКТОР БУД-ТОРГ"
671eb17349d0f9c0d66e98b3;25742323;МИХАЙЛО-ЛУКАШІВСЬКИЙ ЛІЦЕЙ;МИХАЙЛО-ЛУКАШІВСЬКИЙ ЛІЦЕЙ
671eb17349d0f9c0d66e98c5;43581147;ТОВ "ВП ВІЛЬНЯНСЬКИЙ МОЛОКОЗАВОД";ТОВ "ВП ВІЛЬНЯНСЬКИЙ МОЛОКОЗАВОД"
