Код КАТОТТГ;Область;Район;Територіальна громада;Населений пункт;Район у місті
UA23060130010016800;Запорізька;Запорізький;Матвіївська сільська ТГ;Матвіївка;
UA23060150010061768;Запорізька;Запорізький;Михайлівська сільська ТГ;Михайлівка;
UA23060170010056787;Запорізька;Запорізький;Михайло-Лукашівська сільська ТГ;Михайло-Лукашеве;
UA23060030010056906;Запорізька;Запорізький;Вільнянська міська ТГ;Вільнянськ;
UA23060130020025328;Запорізька;Запорізький;Матвіївська сільська ТГ;Кам'яне (видалений);
UA23060130100029959;Запорізька;Запорізький;Матвіївська сільська ТГ;Українка;
UA23060190420091292;Запорізька;Запорізький;Новомиколаївська селищна ТГ;Підгірне;
UA23060250010080166;Запорізька;Запорізький;Петро-Михайлівська сільська ТГ;Петро-Михайлівка;
UA23060230010011165;Запорізька;Запорізький;Павлівська сільська ТГ;Павлівське;
UA23060130080076255;Запорізька;Запорізький;Матвіївська сільська ТГ;Новософіївка;
UA23060250140031042;Запорізька;Запорізький;Петро-Михайлівська сільська ТГ;Тернівка;
UA23060230200055255;Запорізька;Запорізький;Павлівська сільська ТГ;Спасівка;
UA23060070010748330;Запорізька;Запорізький;Запорізька міська ТГ;Запоріжжя; Шевченківський
UA23060230030098673;Запорізька;Запорізький;Павлівська сільська ТГ;Біляївка;
