ObjectId;KATOTTG;Region;District;TerritorialCommunity;Locality;CityDistrict
671eb9227fd484578ac7b435;UA23060130010016800;Запорізька;Запорізький;Матвіївська сільська ТГ;Матвіївка;
671eb9227fd484578ac7b436;UA23060150010061768;Запорізька;Запорізький;Михайлівська сільська ТГ;Михайлівка;
671eb9227fd484578ac7b437;UA23060170010056787;Запорізька;Запорізький;Михайло-Лукашівська сільська ТГ;Михайло-Лукашеве;
671eb9227fd484578ac7b438;UA23060030010056906;Запорізька;Запорізький;Вільнянська міська ТГ;Вільнянськ;
671eb9227fd484578ac7b439;UA23060130020025328;Запорізька;Запорізький;Матвіївська сільська ТГ;Кам'яне (видалений);
671eb9227fd484578ac7b43a;UA23060130100029959;Запорізька;Запорізький;Матвіївська сільська ТГ;Українка;
671eb9227fd484578ac7b43b;UA23060190420091292;Запорізька;Запорізький;Новомиколаївська селищна ТГ;Підгірне;
671eb9227fd484578ac7b43c;UA23060250010080166;Запорізька;Запорізький;Петро-Михайлівська сільська ТГ;Петро-Михайлівка;
671eb9227fd484578ac7b43d;UA23060230010011165;Запорізька;Запорізький;Павлівська сільська ТГ;Павлівське;
671eb9227fd484578ac7b43e;UA23060130080076255;Запорізька;Запорізький;Матвіївська сільська ТГ;Новософіївка;
671eb9227fd484578ac7b43f;UA23060250140031042;Запорізька;Запорізький;Петро-Михайлівська сільська ТГ;Тернівка;
671eb9227fd484578ac7b440;UA23060230200055255;Запорізька;Запорізький;Павлівська сільська ТГ;Спасівка;
671eb9227fd484578ac7b441;UA23060070010748330;Запорізька;Запорізький;Запорізька міська ТГ;Запоріжжя;Шевченківський
671eb9227fd484578ac7b442;UA23060230030098673;Запорізька;Запорізький;Павлівська сільська ТГ;Біляївка;
