Код посади;Назва посади;Скорочена назва
2419.3;спеціаліст державної служби (місцевого самоврядування);держслубовець
2320(10);вчитель закладу загальної середньої освіти;вчитель
1229.3(11);начальник відділу (місцеві органи державної влади, місцевого самоврядування);начальник відділу (держслужба)
2419.2(26);логіст;
3433;бухгалтер;
2429(8);юрисконсульт;
4211(2);касир (на підприємстві, в установі, організації);касир
3439(26);фахівець;
2149.2(А1);фахівець з питань цивільного захисту;
1222.2(17);майстер;
1222.2(65);майстер дільниці;
1222.2(60);майстер виробничої дільниці;
2419.3(25);державний реєстратор;
2149.2(48);інженер;
3432(4);судовий розпорядник;
2222.2;лікар-стоматолог;
1229.3(15);завідувач (начальник) сектору (місцева державна адміністрація, орган місцевого самоврядування);завідувач сектору (держслужба)
2419.3(4);спеціаліст-юрисконсульт;
1223.2(10);виконавець робіт;
2149.2(51);інженер з охорони праці;
1231(15);начальник планово-економічного відділу;
9132(7);прибиральник службових приміщень;прибиральник
3115(60);технік з обслуговування інженерно-технічних засобів охорони (пенітенціарна система);технік ІТЗО
7241(51);електромонтер з ремонту та обслуговування електроустаткування;електромонтер
8322(1);водій автотранспортних засобів;водій
7241(101);слюсар-електрик з ремонту електроустаткування;слюсар-електрик
4142(10);листоноша (поштар);листоноша
4131(4);службовець на складі (комірник);комірник
7231(5);слюсар з ремонту колісних транспортних засобів;автослюсар
7136(17);слюсар-сантехнік;
9162;двірник;
8278(24);оператор лінії у виробництві харчової продукції (виробництво напоїв);оператор лінії
7241(43);електромонтер з обслуговування підстанції;електромонтер
2331(1);вчитель початкових класів закладу загальної середньої освіти;вчитель початкових класів
8272(23);виробник сиру;
7233(53);слюсар аварійно-відновлювальних робіт;слюсар АВР
9333;вантажник;
5220(4);продавець продовольчих товарів;продавець
5122(2);кухар;
6122(2);птахівник;
8163(47);оператор дистанційного пульта керування у водопровідно-каналізаційному господарстві;оператор пульту ДК
8273(4);апаратник оброблення зерна;апаратник
7233(90);слюсар-ремонтник;
4133(23);оператор диспетчерської служби;оператор ДС
1475.4(2);менеджер (управитель) з постачання;менеджер з постачання
7120(2);монтажник будівельний;
7136(5);контролер водопровідного господарства;контролер
2441.2(3);економіст;
8232(143);формувальник склопластикових виробів;
5132(2);молодша медична сестра (молодший медичний брат) з догляду за хворими;молодша медсестра
6121(21);оператор свинарських комплексів і механізованих ферм;оператор свинокомплексу
7432(13);контролер якості;
9322(177);підсобний робітник;
3113(10);електрик дільниці;
