ObjectId;Code;Name;ShortName
671e85901fab161183fd65d7;2419.3;спеціаліст державної служби (місцевого самоврядування);держслубовець
671e85901fab161183fd65d8;2320(10);вчитель закладу загальної середньої освіти;вчитель
671e85901fab161183fd65d9;1229.3(11);начальник відділу (місцеві органи державної влади, місцевого самоврядування);начальник відділу (держслужба)
671e85901fab161183fd65da;2419.2(26);логіст;логіст
671e85901fab161183fd65db;3433;бухгалтер;бухгалтер
671e85901fab161183fd65dc;2429(8);юрисконсульт;юрисконсульт
671e85901fab161183fd65dd;4211(2);касир (на підприємстві, в установі, організації);касир
671e85901fab161183fd65de;3439(26);фахівець;фахівець
671e85901fab161183fd65df;2149.2(А1);фахівець з питань цивільного захисту;фахівець з питань цивільного захисту
671e85901fab161183fd65e0;1222.2(17);майстер;майстер
671e85901fab161183fd65e1;1222.2(65);майстер дільниці;майстер дільниці
671e85901fab161183fd65e2;1222.2(60);майстер виробничої дільниці;майстер виробничої дільниці
671e85901fab161183fd65e3;2419.3(25);державний реєстратор;державний реєстратор
671e85901fab161183fd65e4;2149.2(48);інженер;інженер
671e85901fab161183fd65e5;3432(4);судовий розпорядник;судовий розпорядник
671e85901fab161183fd65e6;2222.2;лікар-стоматолог;лікар-стоматолог
671e85901fab161183fd65e7;1229.3(15);завідувач (начальник) сектору (місцева державна адміністрація, орган місцевого самоврядування);завідувач сектору (держслужба)
671e85901fab161183fd65e8;2419.3(4);спеціаліст-юрисконсульт;спеціаліст-юрисконсульт
671e85901fab161183fd65e9;1223.2(10);виконавець робіт;виконавець робіт
671e85901fab161183fd65ea;2149.2(51);інженер з охорони праці;інженер з охорони праці
671e85901fab161183fd65eb;1231(15);начальник планово-економічного відділу;начальник планово-економічного відділу
671e85901fab161183fd65ec;9132(7);прибиральник службових приміщень;прибиральник
671e85901fab161183fd65ed;3115(60);технік з обслуговування інженерно-технічних засобів охорони (пенітенціарна система);технік ІТЗО
671e85901fab161183fd65ee;7241(51);електромонтер з ремонту та обслуговування електроустаткування;електромонтер
671e85901fab161183fd65ef;8322(1);водій автотранспортних засобів;водій
671e85901fab161183fd65f0;7241(101);слюсар-електрик з ремонту електроустаткування;слюсар-електрик
671e85901fab161183fd65f1;4142(10);листоноша (поштар);листоноша
671e85901fab161183fd65f2;4131(4);службовець на складі (комірник);комірник
671e85901fab161183fd65f3;7231(5);слюсар з ремонту колісних транспортних засобів;автослюсар
671e85901fab161183fd65f4;7136(17);слюсар-сантехнік;слюсар-сантехнік
671e85901fab161183fd65f5;9162;двірник;двірник
671e85901fab161183fd65f6;8278(24);оператор лінії у виробництві харчової продукції (виробництво напоїв);оператор лінії
671e85901fab161183fd65f7;7241(43);електромонтер з обслуговування підстанції;електромонтер
671e85901fab161183fd65f8;2331(1);вчитель початкових класів закладу загальної середньої освіти;вчитель початкових класів
671e85901fab161183fd65f9;8272(23);виробник сиру;виробник сиру
671e85901fab161183fd65fa;7233(53);слюсар аварійно-відновлювальних робіт;слюсар АВР
671e85901fab161183fd65fb;9333;вантажник;вантажник
671e85901fab161183fd65fc;5220(4);продавець продовольчих товарів;продавець
671e85901fab161183fd65fd;5122(2);кухар;кухар
671e85901fab161183fd65fe;6122(2);птахівник;птахівник
671e85901fab161183fd65ff;8163(47);оператор дистанційного пульта керування у водопровідно-каналізаційному господарстві;оператор пульту ДК
671e85901fab161183fd6600;8273(4);апаратник оброблення зерна;апаратник
671e85901fab161183fd6601;7233(90);слюсар-ремонтник;слюсар-ремонтник
671e85901fab161183fd6602;4133(23);оператор диспетчерської служби;оператор ДС
671e85901fab161183fd6603;1475.4(2);менеджер (управитель) з постачання;менеджер з постачання
671e85901fab161183fd6604;7120(2);монтажник будівельний;монтажник будівельний
671e85901fab161183fd6605;7136(5);контролер водопровідного господарства;контролер
671e85901fab161183fd6606;2441.2(3);економіст;економіст
671e85901fab161183fd6607;8232(143);формувальник склопластикових виробів;формувальник склопластикових виробів
671e85901fab161183fd6608;5132(2);молодша медична сестра (молодший медичний брат) з догляду за хворими;молодша медсестра
671e85901fab161183fd6609;6121(21);оператор свинарських комплексів і механізованих ферм;оператор свинокомплексу
671e85901fab161183fd660a;7432(13);контролер якості;контролер якості
671e85901fab161183fd660b;9322(177);підсобний робітник;підсобний робітник
671e85901fab161183fd660c;3113(10);електрик дільниці;електрик дільниці
